"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 28, 2020","6.57","6.73","6.74","6.57","9.46M","-2.95%"
"Oct 27, 2020","6.77","6.81","6.87","6.66","28.49M","-1.31%"
"Oct 26, 2020","6.86","7.26","7.27","6.81","24.48M","-6.92%"
"Oct 23, 2020","7.37","7.47","7.54","7.27","17.53M","-1.60%"
"Oct 22, 2020","7.49","7.80","7.83","7.47","31.05M","-4.34%"
"Oct 21, 2020","7.83","7.82","7.93","7.75","34.26M","0.77%"
"Oct 20, 2020","7.77","7.56","7.82","7.51","34.63M","2.78%"
"Oct 19, 2020","7.56","7.56","7.64","7.56","23.34M","0.53%"
"Oct 16, 2020","7.52","7.46","7.52","7.40","15.75M","1.62%"
"Oct 15, 2020","7.40","7.39","7.47","7.30","11.20M","-0.54%"
"Oct 14, 2020","7.44","7.48","7.51","7.35","21.61M","-0.13%"
"Oct 13, 2020","7.45","7.48","7.58","7.40","21.67M","-0.53%"
"Oct 12, 2020","7.49","7.28","7.49","7.26","25.27M","3.17%"
"Oct 09, 2020","7.26","7.12","7.26","7.10","14.40M","1.97%"
"Oct 08, 2020","7.12","7.27","7.29","7.09","19.72M","-2.20%"
"Oct 07, 2020","7.28","7.27","7.30","7.21","15.37M","-0.55%"
"Oct 06, 2020","7.32","7.34","7.44","7.31","24.45M","0.00%"
"Oct 05, 2020","7.32","7.18","7.32","7.18","15.51M","2.09%"
"Oct 02, 2020","7.17","7.17","7.23","7.14","12.10M","-0.42%"
"Oct 01, 2020","7.20","7.20","7.23","7.09","21.40M","0.84%"
"Sep 30, 2020","7.14","7.02","7.17","7.02","24.61M","2.15%"
"Sep 29, 2020","6.99","6.99","7.07","6.92","17.69M","0.00%"
"Sep 28, 2020","6.99","7.12","7.17","6.96","25.66M","-1.83%"
"Sep 25, 2020","7.12","7.01","7.16","7.01","61.14M","2.89%"
"Sep 24, 2020","6.92","6.76","6.93","6.72","29.02M","2.22%"
"Sep 23, 2020","6.77","6.80","6.83","6.77","13.98M","0.00%"
"Sep 22, 2020","6.77","6.72","6.78","6.69","9.12M","0.89%"
"Sep 21, 2020","6.71","6.84","6.86","6.70","11.85M","-2.19%"
"Sep 18, 2020","6.86","6.90","6.93","6.85","9.23M","-0.58%"
"Sep 17, 2020","6.90","6.88","6.91","6.85","10.52M","-0.29%"
"Sep 16, 2020","6.92","6.95","7.00","6.90","10.26M","-0.14%"
"Sep 15, 2020","6.93","6.95","7.01","6.90","15.39M","-0.14%"
"Sep 14, 2020","6.94","6.95","6.98","6.94","7.86M","0.00%"
"Sep 11, 2020","6.94","6.97","7.00","6.93","8.81M","-0.43%"
"Sep 10, 2020","6.97","7.00","7.04","6.97","18.47M","-0.14%"
"Sep 09, 2020","6.98","6.94","6.98","6.92","11.56M","0.58%"
"Sep 08, 2020","6.94","7.00","7.04","6.93","15.85M","-0.43%"
"Sep 07, 2020","6.97","6.95","7.03","6.95","14.42M","0.58%"
"Sep 04, 2020","6.93","6.91","6.96","6.89","14.05M","0.00%"
"Sep 03, 2020","6.93","7.08","7.15","6.93","28.41M","-1.70%"
"Sep 02, 2020","7.05","6.87","7.08","6.85","30.09M","2.17%"
"Sep 01, 2020","6.90","6.86","6.90","6.74","14.89M","1.02%"
"Aug 31, 2020","6.83","6.90","6.94","6.79","17.54M","-1.59%"
"Aug 28, 2020","6.94","7.02","7.03","6.87","17.06M","-0.43%"
"Aug 27, 2020","6.97","6.98","7.08","6.96","27.63M","0.58%"
"Aug 26, 2020","6.93","6.84","6.99","6.79","27.23M","1.32%"
